"name","weight","rank"
"Malone",1.23290742102848e-05,125
"Neil",1.22870777648729e-05,0
"Nasser",1.22404711032288e-05,0
"Calvin",1.2217189921999e-05,407
"Florentin",1.22098760311769e-05,0
"Mylan",1.22063304278518e-05,188
"Khalid",1.21567280394589e-05,0
"Solal",1.19959860389779e-05,295
"Mathurin",1.18636045491131e-05,0
"Mark",1.17776662641538e-05,0
"Rabah",1.1762342069323e-05,0
"Yasin",1.16522044099862e-05,487
"Imrane",1.15759233825244e-05,171
"Kamal",1.15667808870277e-05,0
"Idris",1.13541409826458e-05,399
"Josselin",1.11940193208629e-05,0
"Iban",1.11759401532161e-05,0
"Youri",1.10826864571102e-05,0
"Jacob",1.10466582363287e-05,0
"Louca",1.10406573356033e-05,322
"Matteo",1.09866981686906e-05,178
"Ilyan",1.08015147747147e-05,220
"Erwin",1.07955586045341e-05,0
"Iyad",1.07806729709629e-05,236
"Aissa",1.07598445894154e-05,0
"Vianney",1.07431915539804e-05,0
"Alcide",1.07137724102394e-05,0
"Niels",1.06470108109805e-05,0
"Landry",1.06247878749311e-05,0
"Saad",1.05316207453058e-05,0
"Harold",1.04298948857998e-05,0
"Ronald",1.04298948857998e-05,0
"Jacki",1.0357854892842e-05,0
"Jérémie",1.02968251769281e-05,0
"Gaby",1.02933079010541e-05,0
"Rafaël",1.02713340042484e-05,122
"Hilaire",1.02160292590331e-05,0
"Maxim",1.02113519469416e-05,0
"Loup",1.0083006056989e-05,455
"Loick",1.00771850201942e-05,0
"Jorge",9.87415626840867e-06,0
"Clement",9.82563467036182e-06,300
"Elyas",9.82217189164324e-06,247
"Danny",9.81063223478371e-06,0
"Fredy",9.68399489853979e-06,0
"Soren",9.67250963156903e-06,346
"Sonny",9.60942193769982e-06,0
"Abdallah",9.55218902460091e-06,259
"Barthelemy",9.53789861214276e-06,0
"Kamil",9.53504138554958e-06,243
"Simeon",9.45230606450839e-06,0
"Mehmet",9.40107412318578e-06,0
"Nahel",9.39254449327679e-06,283
"Flavio",9.37975488843857e-06,0
"Riyad",9.36413104009164e-06,340
"Ludwig",9.34142094675174e-06,0
"Jany",9.27340105889129e-06,0
"Nil",9.23945330308338e-06,0
"Joaquim",9.12096351225978e-06,0
"Celian",9.11674116980699e-06,0
"Maximin",9.10407805333281e-06,0
"Andrew",9.09985831847173e-06,0
"Billy",9.05910118511948e-06,0
"Tomy",9.01139468858437e-06,0
"Brayan",8.99878055920649e-06,0
"Ayden",8.98057055141266e-06,97
"Kelyan",8.96517168997375e-06,455
"Ahmet",8.96377223033646e-06,0
"Timothé",8.95257917529023e-06,156
"Nohan",8.88551883197883e-06,349
"Ignace",8.87714811274497e-06,0
"Tyméo",8.80749448473836e-06,191
"Sergio",8.80610327855572e-06,0
"Mustafa",8.77857248641041e-06,0
"Nans",8.76856841580265e-06,0
"Bruce",8.72415191277248e-06,0
"Joanny",8.61482114181157e-06,0
"Fernando",8.60239492451812e-06,0
"Louison",8.46692570604515e-06,307
"Jarod",8.44825876067692e-06,0
"Oumar",8.44825876067692e-06,497
"Valere",8.44551478014773e-06,0
"Cyr",8.43728462155555e-06,0
"Loann",8.43728462155555e-06,0
"Tarek",8.40987008513952e-06,0
"Jeff",8.39617397355224e-06,0
"Vital",8.38248530510027e-06,0
"Néo",8.32234369112873e-06,416
"Khalil",8.32234369112873e-06,312
"Aron",8.3059665008415e-06,367
"Elvis",8.27324439767309e-06,0
"Kenan",8.2514535941515e-06,0
"Vadim",8.22424204276285e-06,335
"Jon",8.15905669511608e-06,0
"Dino",8.11028127937468e-06,0
"Rony",8.11028127937468e-06,0
"Faycal",8.08998697895248e-06,0
"Matthew",8.08755280204711e-06,318
"Allain",8.06565620124991e-06,0
"Roberto",8.0421596815222e-06,0
"Sandy",8.00763165517356e-06,0
"Johny",7.9753066359243e-06,0
"Gatien",7.940337083803e-06,0
"Gery",7.91615741774726e-06,0
"Eren",7.90005130198102e-06,0
"Emilio",7.87189192328585e-06,367
"Sully",7.86787189171128e-06,0
"Ziad",7.82770924558602e-06,0
"Cameron",7.81968494126565e-06,292
"Khaled",7.76759388582532e-06,0
"Leandro",7.71721650730143e-06,229
"Zacharie",7.69166987253525e-06,343
"Dario",7.68103377777911e-06,0
"Renan",7.67571757041445e-06,0
"Malek",7.55907195638392e-06,0
"Edward",7.55246225774328e-06,0
"Leon",7.50097280890615e-06,335
"Sony",7.48515353735034e-06,0
"Etan",7.40622438303439e-06,0
"Ulrich",7.39047204805328e-06,0
"Anselme",7.38417424507118e-06,0
"Adama",7.25442114144213e-06,0
"Steeven",7.20544126666552e-06,0
"Lazare",7.13217915516899e-06,0
"Alessio",7.11817873328511e-06,150
"Rida",7.10107956419544e-06,0
"Victorien",7.09109289176454e-06,0
